model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,"[0.11597938144329897, 0.10309278350515463, 0.07712082262210797, 0.08997429305912596, 0.09254498714652956, 0.10796915167095116, 0.12082262210796915, 0.10025706940874037, 0.09511568123393316, 0.08740359897172237]",0.21180555555555558,Models\DecisionTrees\20260731_Jul\baseline.pkl,"[86.5979381443299, 88.91752577319588, 91.51670951156812, 91.00257069408741, 89.20308483290489, 86.63239074550128, 82.0051413881748, 88.94601542416453, 90.48843187660668, 90.74550128534705]","[0.4444444444444444, 0.6296296296296297, 0.6875, 0.6391752577319587, 0.6727272727272727, 0.5531914893617021, 0.27692307692307694, 0.5301204819277109, 0.6336633663366337, 0.575]",46.0,354.0,16.0,16.0,78.47222222222221,0.16666666666666666,3.0,111.0,16.0,14.0
Decision tree,batch normalisation,"[0.02577319587628866, 0.04896907216494845, 0.030848329048843187, 0.02570694087403599, 0.02570694087403599, 0.030848329048843187, 0.056555269922879174, 0.02313624678663239, 0.04627249357326478, 0.03598971722365039]",0.4097222222222222,Models\DecisionTrees\20260731_Jul\batch_normalisation.pkl,"[97.42268041237114, 93.81443298969072, 96.40102827763496, 96.1439588688946, 97.42930591259639, 94.34447300771208, 93.83033419023135, 96.65809768637533, 94.60154241645245, 96.40102827763496]","[0.9056603773584906, 0.8403361344537815, 0.8909090909090909, 0.9074074074074074, 0.9166666666666666, 0.8867924528301887, 0.819672131147541, 0.9203539823008849, 0.85, 0.8703703703703703]",56.0,363.0,5.0,8.0,59.02777777777778,0.11940298507462686,4.0,81.0,38.0,21.0
Decision tree,dropout,"[0.07989690721649484, 0.07989690721649484, 0.07712082262210797, 0.07455012853470437, 0.07969151670951156, 0.08483290488431877, 0.07455012853470437, 0.07455012853470437, 0.08483290488431877, 0.07712082262210797]",0.09027777777777778,Models\DecisionTrees\20260731_Jul\dropout.pkl,"[92.0103092783505, 92.0103092783505, 92.2879177377892, 92.54498714652956, 92.03084832904884, 91.51670951156812, 92.54498714652956, 92.54498714652956, 91.51670951156812, 92.2879177377892]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,398.0,0.0,34.0,90.97222222222221,0.0,0.0,131.0,0.0,13.0
Decision tree,layer normalisation,"[0.2345360824742268, 0.25773195876288657, 0.21079691516709512, 0.2519280205655527, 0.30848329048843187, 0.3264781491002571, 0.3264781491002571, 0.20822622107969152, 0.3213367609254499, 0.30077120822622105]",0.2986111111111111,Models\DecisionTrees\20260731_Jul\layer_normalisation.pkl,"[76.5463917525773, 74.22680412371135, 78.9203084832905, 74.80719794344472, 69.1516709511568, 67.3521850899743, 67.3521850899743, 79.17737789203085, 67.86632390745501, 69.9228791773779]","[0.6956521739130435, 0.43820224719101125, 0.7007299270072993, 0.4731182795698925, 0.0, 0.0, 0.0, 0.7054545454545454, 0.0, 0.0]",0.0,294.0,0.0,138.0,70.13888888888889,0.0,0.0,101.0,0.0,43.0
Decision tree,prune,"[0.32216494845360827, 0.3324742268041237, 0.32390745501285345, 0.3341902313624679, 0.31876606683804626, 0.3264781491002571, 0.3264781491002571, 0.32390745501285345, 0.31362467866323906, 0.31876606683804626]",0.4444444444444444,Models\DecisionTrees\20260731_Jul\prune.pkl,"[67.78350515463917, 66.75257731958763, 67.60925449871465, 66.58097686375322, 68.12339331619538, 59.89717223650386, 67.3521850899743, 67.60925449871465, 68.63753213367609, 68.12339331619538]","[0.0, 0.0, 0.35051546391752575, 0.3157894736842105, 0.3404255319148936, 0.0, 0.0, 0.0, 0.35789473684210527, 0.39805825242718446]",48.0,243.0,47.0,94.0,55.55555555555556,0.13513513513513514,5.0,75.0,22.0,42.0
Decision tree,weight normalisation,"[0.15721649484536082, 0.14690721649484537, 0.17737789203084833, 0.17223650385604114, 0.15681233933161953, 0.16452442159383032, 0.14652956298200515, 0.17737789203084833, 0.16709511568123395, 0.15424164524421594]",0.4375,Models\DecisionTrees\20260731_Jul\weight_normalisation.pkl,"[83.50515463917526, 85.30927835051546, 80.97686375321337, 80.46272493573264, 84.31876606683805, 78.9203084832905, 82.77634961439588, 82.26221079691517, 83.03341902313625, 82.26221079691517]","[0.7312775330396476, 0.7298578199052133, 0.6698564593301436, 0.6883720930232559, 0.7426160337552743, 0.673469387755102, 0.7373271889400922, 0.6567164179104478, 0.6766169154228856, 0.7247706422018348]",79.0,283.0,22.0,48.0,56.25,0.25882352941176473,11.0,70.0,35.0,28.0
Decision tree,weight decay,"[0.25773195876288657, 0.24742268041237114, 0.2493573264781491, 0.2647814910025707, 0.26735218508997427, 0.2544987146529563, 0.2750642673521851, 0.2365038560411311, 0.2365038560411311, 0.2442159383033419]",0.5763888888888888,Models\DecisionTrees\20260731_Jul\weight_decay.pkl,"[74.22680412371135, 75.25773195876289, 75.06426735218508, 73.52185089974293, 73.26478149100257, 74.55012853470437, 72.49357326478149, 76.34961439588689, 76.34961439588689, 75.57840616966581]","[0.5145631067961165, 0.6065573770491803, 0.6548042704626335, 0.6142322097378277, 0.43478260869565216, 0.6346863468634686, 0.608058608058608, 0.648854961832061, 0.640625, 0.6666666666666666]",102.0,220.0,70.0,40.0,42.36111111111111,0.26548672566371684,15.0,46.0,54.0,29.0
Decision tree,weight perturbation,"[0.08762886597938144, 0.09020618556701031, 0.09511568123393316, 0.07197943444730077, 0.08740359897172237, 0.09511568123393316, 0.09511568123393316, 0.08483290488431877, 0.10539845758354756, 0.09768637532133675]",0.4236111111111111,Models\DecisionTrees\20260731_Jul\weight_perturbation.pkl,"[91.23711340206185, 88.91752577319588, 87.40359897172236, 91.77377892030847, 91.25964010282776, 89.20308483290489, 90.48843187660668, 91.51670951156812, 88.4318766066838, 87.66066838046272]","[0.7166666666666667, 0.7586206896551724, 0.704, 0.7941176470588235, 0.746268656716418, 0.7086614173228346, 0.7516778523489933, 0.7692307692307693, 0.6870229007633588, 0.6724137931034483]",62.0,328.0,29.0,13.0,57.638888888888886,0.3146067415730337,14.0,69.0,52.0,9.0
KNN,baseline,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2152777777777778,Models\KNN\20260731_Jul\baseline.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",62.0,370.0,0.0,0.0,78.47222222222221,0.16216216216216217,3.0,110.0,17.0,14.0
KNN,batch normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2708333333333333,Models\KNN\20260731_Jul\batch_normalisation.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",64.0,368.0,0.0,0.0,72.91666666666666,0.4,13.0,92.0,27.0,12.0
