model type,technique,training loses,testing loses,training accuracies,training f1,testing f1,testing accuracies,testing true positive,testing true negative,testing false positive,testing false negative
Random forest,layer normalisation,"[0.006666666666666667, 0.006666666666666667, 0.0033333333333333335, 0.0, 0.01]","[0.5481481481481482, 0.5851851851851851, 0.5851851851851851, 0.6370370370370371, 0.5407407407407407]","[99.33333333333333, 99.33333333333333, 99.66666666666667, 100.0, 99.0]","[0.9933023555206887, 0.9933016569200781, 0.996658835417456, 1.0, 0.9899765062523683]",0.33679169992019153,40.0,5.0,49.0,21.0,60.0
Random forest,prune,"[0.11333333333333333, 0.1, 0.09666666666666666, 0.09, 0.09666666666666666]","[0.35555555555555557, 0.2518518518518518, 0.42962962962962964, 0.34074074074074073, 0.3111111111111111]","[88.66666666666667, 90.0, 90.33333333333333, 91.0, 90.33333333333333]","[0.8845665566014488, 0.8984203296703296, 0.9022714201489573, 0.9084820697560176, 0.9021803384544159]",0.6983231002838846,71.85185185185186,14.0,83.0,12.0,26.0
Random forest,weight normalisation,"[0.12666666666666668, 0.12333333333333334, 0.15333333333333332, 0.11333333333333333, 0.11333333333333333]","[0.28888888888888886, 0.3111111111111111, 0.34814814814814815, 0.3111111111111111, 0.3111111111111111]","[87.33333333333333, 87.66666666666667, 84.66666666666667, 88.66666666666667, 88.66666666666667]","[0.8718787878787879, 0.87558911300471, 0.8459812503880301, 0.886037037037037, 0.8866666666666667]",0.6630882089819288,63.70370370370371,7.0,79.0,31.0,18.0
Random forest,weight decay,"[0.11, 0.12333333333333334, 0.11666666666666667, 0.13, 0.12]","[0.45925925925925926, 0.4222222222222222, 0.5481481481481482, 0.43703703703703706, 0.4962962962962963]","[89.0, 87.66666666666667, 88.33333333333333, 87.0, 88.0]","[0.8870657577235989, 0.8747280474774393, 0.8812673719409471, 0.8669895991139515, 0.8771575502571295]",0.5038800705467372,57.03703703703704,1.0,76.0,16.0,42.0
Random forest,weight perturbation,"[0.18333333333333332, 0.16, 0.16666666666666666, 0.17333333333333334, 0.19]","[0.23703703703703705, 0.15555555555555556, 0.3333333333333333, 0.15555555555555556, 0.15555555555555556]","[81.66666666666667, 84.0, 83.33333333333334, 82.66666666666667, 81.0]","[0.7868698640370536, 0.8168744354110209, 0.8092442035531466, 0.7928844790928419, 0.7759375177721749]",0.7324527324527326,74.07407407407408,2.0,98.0,16.0,19.0
svm,baseline,"[0.10666666666666667, 0.12666666666666668, 0.13333333333333333, 0.11333333333333333, 0.13333333333333333]","[0.34074074074074073, 0.34074074074074073, 0.3037037037037037, 0.24444444444444444, 0.3925925925925926]","[89.33333333333333, 87.33333333333333, 86.66666666666667, 88.66666666666667, 86.66666666666667]","[0.8888979039891818, 0.8644765923246935, 0.8574509427113362, 0.873882498453927, 0.8501561280249805]",0.7388420281771372,72.5925925925926,3.0,95.0,21.0,16.0
svm,batch normalisation,"[0.12333333333333334, 0.11666666666666667, 0.14666666666666667, 0.11666666666666667, 0.11666666666666667]","[0.45925925925925926, 0.4962962962962963, 0.4444444444444444, 0.42962962962962964, 0.4666666666666667]","[87.66666666666667, 88.33333333333333, 85.33333333333334, 88.33333333333333, 88.33333333333333]","[0.8650715746421268, 0.8769494986488212, 0.8435395526459356, 0.8785196156621473, 0.8776214812471909]",0.5565323565323566,52.59259259259259,12.0,59.0,43.0,21.0
svm,dropout,"[0.1, 0.11666666666666667, 0.10333333333333333, 0.1, 0.11]","[0.2962962962962963, 0.37037037037037035, 0.32592592592592595, 0.3111111111111111, 0.28888888888888886]","[90.0, 88.33333333333333, 89.66666666666666, 90.0, 89.0]","[0.8838814016172506, 0.8590600180135921, 0.8693746335069503, 0.8858237547892721, 0.8764153648047814]",0.7133177263209945,69.62962962962963,16.0,78.0,27.0,14.0
svm,layer normalisation,"[0.18666666666666668, 0.16333333333333333, 0.19333333333333333, 0.17666666666666667, 0.2]","[0.6148148148148148, 0.5185185185185185, 0.5703703703703704, 0.5851851851851851, 0.5703703703703704]","[81.33333333333333, 83.66666666666667, 80.66666666666666, 82.33333333333334, 80.0]","[0.7906350657570856, 0.8122390133750217, 0.77264, 0.7975233635588008, 0.7711598746081504]",0.38653594771241834,42.22222222222222,11.0,46.0,24.0,54.0
svm,prune,"[0.16666666666666666, 0.15666666666666668, 0.13666666666666666, 0.15333333333333332, 0.14333333333333334]","[0.5111111111111111, 0.37037037037037035, 0.35555555555555557, 0.3037037037037037, 0.42962962962962964]","[83.33333333333334, 84.33333333333334, 86.33333333333333, 84.66666666666667, 85.66666666666667]","[0.8295722135007849, 0.8420419248809538, 0.8606773118953671, 0.8398566308243727, 0.8520517356606518]",0.5806210250654695,56.2962962962963,20.0,56.0,39.0,20.0
svm,weight normalisation,"[0.22333333333333333, 0.18666666666666668, 0.19, 0.19666666666666666, 0.18333333333333332]","[0.6074074074074074, 0.5703703703703704, 0.5333333333333333, 0.4962962962962963, 0.562962962962963]","[77.66666666666666, 81.33333333333333, 81.0, 80.33333333333333, 81.66666666666667]","[0.7765087680663892, 0.8123527834303471, 0.807311930658198, 0.801263740775936, 0.8165370484127076]",0.5241622574955908,47.40740740740741,17.0,47.0,63.0,8.0
svm,weight decay,"[0.18333333333333332, 0.18, 0.16666666666666666, 0.16, 0.19666666666666666]","[0.42962962962962964, 0.4074074074074074, 0.3333333333333333, 0.4, 0.35555555555555557]","[81.66666666666667, 82.0, 83.33333333333334, 84.0, 80.33333333333333]","[0.8082366444939221, 0.8196043956043957, 0.8275132275132275, 0.8375182712024817, 0.8013623106825422]",0.5472758379719994,61.48148148148148,3.0,80.0,12.0,40.0
svm,weight perturbation,"[0.13, 0.14333333333333334, 0.15, 0.13333333333333333, 0.14]","[0.4666666666666667, 0.3851851851851852, 0.3037037037037037, 0.362962962962963, 0.31851851851851853]","[87.0, 85.66666666666667, 85.0, 86.66666666666667, 86.0]","[0.8561076604554865, 0.8480015929908402, 0.8321600552415911, 0.8555344718532574, 0.8554462615412467]",0.6861766381766381,63.70370370370371,13.0,73.0,41.0,8.0
