number_of_attributes,percentage_of_numeric_features,number_of_instances,number_of_class,proportion_of_attributes_per_instances,number_of_classes_per_attributes,number_of_instances_per_class,proportion_of_min_to_max_instance_per_class,proportion_of_attributes_with_outliers,minimum_continuous_mutual_information,maximum_continuous_mutual_information,minimum_discrete_mutual_information,maximum_discrete_mutual_information,equivalent_number_of_continuous_attributes,equivalent_number_of_discrete_attributes,noise_signal_ratio_of_continuous_attributes,noise_signal_ratio_of_discrete_attributes,dropout_testing_loss,batch_normalisation_testing_loss,weight_normalisation_testing_loss,normal_testing_loss,prune_testing_loss,layer_normalisation_testing_loss,weight_decay_testing_loss,weight_perturbation_testing_loss,SMOTE_testing_loss
19.0,0.5789473684210527,8124.0,2.0,0.0023387493845396,0.1052631578947368,4062.0,0.9306083650190116,0.2631578947368421,0.0242529370239426,0.4021241197280734,0.0052102297135727,0.1973567463315339,1.137523331271601,1.0969401623298023,-0.295134109793251,0.3497323128358507,1,1,2,2,3,4,4,5,6
13.0,0.6153846153846154,8124.0,2.0,0.0016001969473165,0.1538461538461538,4062.0,0.9306083650190116,0.3076923076923077,0.0236189896742775,0.2077909704268323,0.0098184487013197,0.188462887642013,1.120643923620793,1.1091151885301551,0.0963977388258422,0.9293995830404196,2,1,3,2,1,4,5,6,7
14.0,0.6428571428571429,8124.0,2.0,0.001723289020187,0.1428571428571428,4062.0,0.9306083650190116,0.3571428571428571,0.0237802327107932,0.2256755119382303,0.0052102297135727,0.1973567463315339,1.1189552560544282,1.090720387722637,-0.0123483545683847,1.300982237645972,1,1,3,3,2,4,5,6,7
13.0,0.4615384615384615,8124.0,2.0,0.0016001969473165,0.1538461538461538,4062.0,0.9306083650190116,0.3846153846153846,0.0123206834813194,0.1154718629234468,0.0052102297135727,0.1973567463315339,1.0832846368799796,1.107311289448334,1.0814498341203584,0.4001495471981087,2,1,4,3,2,5,6,7,8
20.0,0.6,8124.0,2.0,0.0024618414574101,0.1,4062.0,0.9306083650190116,0.3,0.0056949957855714,0.3895032617277936,0.0052102297135727,0.1973567463315339,1.131941085929323,1.0964865970973312,-0.3282254887351501,0.3557924500895725,2,1,3,3,2,4,5,6,7
11.0,0.6363636363636364,8124.0,2.0,0.0013540128015755,0.1818181818181818,4062.0,0.9306083650190116,0.2727272727272727,0.0,0.3889007895180807,0.0165086975735648,0.188462887642013,1.1209348533337675,1.10084704036146,0.2501769464151668,1.5995751638333755,2,1,3,4,3,5,5,6,7
13.0,0.5384615384615384,8124.0,2.0,0.0016001969473165,0.1538461538461538,4062.0,0.9306083650190116,0.3076923076923077,0.0778659066348579,0.3880190646559773,0.0052102297135727,0.1973567463315339,1.1770938965521611,1.102784951823521,-0.1246537280351596,0.7018952944040072,4,1,2,3,5,6,6,7,8
21.0,0.5714285714285714,484.0,2.0,0.0433884297520661,0.0952380952380952,242.0,0.9282868525896414,0.2857142857142857,0.0,0.3570120444206202,3.834683956083218e-05,0.2040979697895257,1.1189033284227636,1.0949379488876072,-0.2590041112584301,0.2238484288593507,1,1,3,2,1,6,4,5,7
21.0,0.5714285714285714,1667.0,2.0,0.0125974805038992,0.0952380952380952,833.5,0.9316338354577056,0.238095238095238,0.0052636101182779,0.3708156122634314,0.0043823129956768,0.1892868062876053,1.1304841464872142,1.0841102657501551,-0.321151731425264,0.3745816439878912,3,1,4,2,4,6,5,6,7
21.0,0.5714285714285714,2856.0,2.0,0.0073529411764705,0.0952380952380952,1428.0,0.9310344827586208,0.2857142857142857,0.0,0.3634011941067108,0.0021711723632011,0.1943996148898627,1.1304341349630331,1.088450729474993,-0.320917982475301,0.3097565620656831,2,1,3,2,2,4,4,5,6
21.0,0.5714285714285714,3935.0,2.0,0.0053367217280813,0.0952380952380952,1967.5,0.9308145240431795,0.2857142857142857,0.009697062222469,0.369084191468862,0.0074000710136251,0.1980102487065624,1.1332189573413398,1.0873697043927162,-0.3342822721769197,0.3252862275251172,2,1,3,2,4,6,5,6,7
21.0,0.5714285714285714,4436.0,2.0,0.0047339945897204,0.0952380952380952,2218.0,0.9303742384682332,0.2857142857142857,0.0,0.3678095898883766,0.0057265307597214,0.1982639189135019,1.1286465431146775,1.0890243168156293,-0.3120501725580451,0.301641532381904,3,1,2,2,2,4,5,6,7
21.0,0.5714285714285714,5565.0,2.0,0.0037735849056603,0.0952380952380952,2782.5,0.9302809573361084,0.2857142857142857,0.0226904898013513,0.3854276094928579,0.0060933194877701,0.2004924274164744,1.1321665191640782,1.0871302338688995,-0.3293092958671804,0.3287605155746372,2,1,2,2,2,3,4,5,6
21.0,0.5714285714285714,7091.0,2.0,0.0029615004935834,0.0952380952380952,3545.5,0.930574462292404,0.2857142857142857,0.0090487454991681,0.3617286918702573,0.0049813759305352,0.1948163778111271,1.1311539881569,1.0875859310156326,-0.3244344304634096,0.3221388868023718,3,1,2,3,2,4,4,5,6
21.0,0.5714285714285714,8051.0,2.0,0.0026083716308533,0.0952380952380952,4025.5,0.930695443645084,0.2857142857142857,0.0,0.3883005637857231,0.0052978942343002,0.197069211309714,1.1307823702098427,1.087755126602281,-0.322626107764755,0.319698271558759,3,1,2,2,4,5,6,7,8
17.0,0.8823529411764706,5000.0,2.0,0.0034,0.1176470588235294,2500.0,0.1646866992778942,0.7647058823529411,0.0,0.0591323223301696,5.589404883432625e-05,0.0068162308156379,1.0122188435276025,1.0034419724618937,2.22713571363511,84.54756887262192,4,3,4,5,6,2,7,1,8
13.0,0.7692307692307693,5000.0,2.0,0.0026,0.1538461538461538,2500.0,0.1646866992778942,0.6153846153846154,0.0,0.0577443693683026,5.589404883432625e-05,0.0252128567873437,1.0174292425298683,1.0107523897647317,2.4023400030644666,17.323014222806133,4,3,4,5,6,1,7,2,8
10.0,0.8,5000.0,2.0,0.002,0.2,2500.0,0.1646866992778942,0.6,0.0,0.0558919890026921,0.0068162308156379,0.0252128567873437,1.013967573078297,1.0161434638874518,4.297894303079548,17.354989765302268,3,2,3,4,5,1,6,1,7
14.0,0.7857142857142857,5000.0,2.0,0.0028,0.1428571428571428,2500.0,0.1646866992778942,0.7142857142857143,0.0,0.0157071983560186,5.589404883432625e-05,0.0252128567873437,1.00361829006421,1.0107523897647317,13.797459804561017,17.323014222806133,4,2,3,3,5,1,6,1,7
19.0,0.8421052631578947,5000.0,2.0,0.0038,0.1052631578947368,2500.0,0.1646866992778942,0.7368421052631579,0.0,0.0599951743742295,5.589404883432625e-05,0.0252128567873437,1.0125455430071892,1.0107523897647317,1.947130477492488,17.323014222806133,4,2,3,3,5,1,6,1,7
14.0,1.0,5000.0,2.0,0.0028,0.1428571428571428,2500.0,0.1646866992778942,0.8571428571428571,0.0,0.0562077977519255,0.0,0.0,1.0146671970260177,1.0,1.8839597778452744,inf,5,2,4,3,6,1,7,1,8
18.0,0.8333333333333334,5000.0,2.0,0.0036,0.1111111111111111,2500.0,0.1646866992778942,0.7777777777777778,0.0,0.0633683820427783,5.589404883432625e-05,0.0252128567873437,1.0124260742518054,1.0107523897647317,2.173641971492831,17.323014222806133,4,2,3,3,5,1,6,1,7
20.0,0.85,495.0,2.0,0.0404040404040404,0.1,247.5,0.1647058823529411,0.7,0.0,0.0332223581377668,0.0006254937956148,0.0467985847124215,1.009563354035279,1.0170243081380403,2.6335837096778034,10.60929892418412,3,2,3,3,4,1,5,1,6
20.0,0.85,943.0,2.0,0.0212089077412513,0.1,471.5,0.1641975308641975,0.75,0.0,0.0656318455262896,0.0029893399604014,0.0354751278235675,1.0156721883820463,1.0142641947557258,1.2202745133433734,12.813850285942156,3,2,4,3,5,1,6,1,7
20.0,0.85,1442.0,2.0,0.0138696255201109,0.1,721.0,0.1647819063004846,0.75,0.0,0.0531704278897118,0.0004213483848139,0.0242024858467028,1.01200275030042,1.0098737879222237,1.899327738192847,18.95096138828931,3,2,4,3,5,1,6,1,7
20.0,0.85,2529.0,2.0,0.0079082641360221,0.1,1264.5,0.1649009672961768,0.75,0.0,0.0449878771739573,0.0003348867320775,0.0218253179971824,1.0116330758678909,1.0100702964053103,1.9920754218492849,18.571143262189263,3,2,3,3,4,1,5,1,6
20.0,0.85,2995.0,2.0,0.006677796327212,0.1,1497.5,0.1644634525660964,0.75,0.0,0.0545325924991733,0.0001916219220852,0.0288225407725845,1.0112163809604502,1.012215630133383,2.098165949719334,15.128133436675924,3,2,3,4,5,1,6,1,7
20.0,0.85,3196.0,2.0,0.0062578222778473,0.1,1598.0,0.1647230320699708,0.75,0.0,0.0560670420766138,0.0003712181051138,0.030260008438091,1.014046857799378,1.012744500938299,1.4794458038403917,14.476008335930649,3,2,3,3,4,1,5,1,6
20.0,0.85,4288.0,2.0,0.0046641791044776,0.1,2144.0,0.1645844649646931,0.75,0.0,0.0597005239570656,1.8590778281715736e-05,0.0267921288541856,1.011504924839461,1.0114409947475334,2.0220902846124864,16.220325254394112,3,2,3,4,5,1,6,1,7
20.0,0.85,4536.0,2.0,0.0044091710758377,0.1,2268.0,0.1645699614890885,0.75,0.0,0.0583206150988733,7.174277959741404e-05,0.0285046264911167,1.0114721231104389,1.0118401762385991,2.030538420404023,15.642257845696012,3,2,3,3,4,1,5,1,6
6.0,1.0,18905.0,2.0,0.0003173763554615,0.3333333333333333,9452.5,0.5330035679532923,0.6666666666666666,0.0212256663543666,0.1213967302693319,0.0,0.0,1.0715933470232006,1.0,1.2463953419428904,inf,2,4,5,3,1,6,7,8,9
5.0,1.0,18905.0,2.0,0.0002644802962179,0.4,9452.5,0.5330035679532923,1.0,0.0094892489771556,0.0945481192337869,0.0,0.0,1.0569390577405908,1.0,2.365958600799042,inf,1,3,4,2,4,5,6,6,7
8.0,1.0,18905.0,2.0,0.0004231684739486,0.25,9452.5,0.5330035679532923,0.75,0.0056139195125126,0.1215638012177073,0.0,0.0,1.0551029150243154,1.0,1.171918363390568,inf,2,4,3,3,1,5,7,6,8
9.0,1.0,18905.0,2.0,0.0004760645331922,0.2222222222222222,9452.5,0.5330035679532923,0.7777777777777778,0.009999913768226,0.1215290238986384,0.0,0.0,1.0641927634042354,1.0,0.6644095515581349,inf,1,2,1,1,1,3,4,5,6
9.0,1.0,18905.0,2.0,0.0004760645331922,0.2222222222222222,9452.5,0.5330035679532923,0.7777777777777778,0.0092124250436658,0.1211024035508145,0.0,0.0,1.0641865987176808,1.0,0.6645645355049908,inf,1,2,1,2,2,3,4,5,6
7.0,1.0,18905.0,2.0,0.0003702724147051,0.2857142857142857,9452.5,0.5330035679532923,0.8571428571428571,0.0088199935386672,0.0825602431336527,0.0,0.0,1.050384609370551,1.0,1.7085106615657148,inf,2,5,3,4,1,6,8,7,9
7.0,1.0,18905.0,2.0,0.0003702724147051,0.2857142857142857,9452.5,0.5330035679532923,0.8571428571428571,0.0093012903003124,0.1215657945978527,0.0,0.0,1.0592284500321727,1.0,1.3138484401271977,inf,1,4,2,3,2,5,6,6,7
10.0,1.0,2198.0,2.0,0.0045495905368516,0.2,1099.0,0.5327754532775453,0.8,0.0121274120823322,0.125570699436448,0.0,0.0,1.0499061927357796,1.0,0.9135121775374996,inf,3,3,2,2,1,5,4,6,7
10.0,1.0,4616.0,2.0,0.0021663778162911,0.2,2308.0,0.5330454998339422,0.8,0.0005711566424109,0.1337831977587456,0.0,0.0,1.0562908207388562,1.0,0.7018629089089292,inf,1,2,1,1,1,3,4,5,6
10.0,1.0,5738.0,2.0,0.0017427675148135,0.2,2869.0,0.5329949238578681,0.8,0.0124391579301725,0.1080570565375982,0.0,0.0,1.0519021870948606,1.0,0.8418547597784333,inf,2,3,2,2,1,5,4,6,7
10.0,1.0,8910.0,2.0,0.0011223344556677,0.2,4455.0,0.5330350997935306,0.8,0.0013317335223828,0.1228698170263342,0.0,0.0,1.053755713756397,1.0,0.7799557685317141,inf,1,3,1,2,4,5,6,7,8
10.0,1.0,11285.0,2.0,0.000886132033673,0.2,5642.5,0.5330797445999185,0.8,0.0,0.1158797879540554,0.0,0.0,1.054811441155933,1.0,0.7465861669745717,inf,2,3,2,2,1,6,5,4,7
10.0,1.0,11894.0,2.0,0.0008407600470825,0.2,5947.0,0.5329295012243845,0.8,0.0029913748288752,0.1230247972776084,0.0,0.0,1.0542386663374193,1.0,0.764437187426684,inf,2,4,3,3,1,5,7,6,8
10.0,1.0,16433.0,2.0,0.0006085316132173,0.2,8216.5,0.5330721149360947,0.8,0.0083838831659157,0.1200626802452013,0.0,0.0,1.0575283324347682,1.0,0.6662561153066172,inf,3,2,4,4,1,6,5,7,8
10.0,1.0,17218.0,2.0,0.0005807875479149,0.2,8609.0,0.5329415954415955,0.8,0.0094483668761817,0.119993764226491,0.0,0.0,1.0586856660619706,1.0,0.6342095987915913,inf,2,4,3,3,1,6,7,5,8
22.0,0.0,8124.0,9.0,0.0027080256031511,0.4090909090909091,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0,0.6598973310110031,1.0,1.3570968392142275,inf,-0.654728314035529,1,1,3,3,2,4,6,5,7
22.0,0.0,8124.0,9.0,0.0027080256031511,0.4090909090909091,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0,0.6598973310110031,1.0,1.3570968392142275,inf,-0.654728314035529,1,1,1,2,1,3,5,4,6
22.0,0.0,8124.0,9.0,0.0027080256031511,0.4090909090909091,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0,0.6598973310110031,1.0,1.3570968392142275,inf,-0.654728314035529,1,1,2,3,2,4,5,4,6
22.0,0.0,8124.0,9.0,0.0027080256031511,0.4090909090909091,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0,0.6598973310110031,1.0,1.3570968392142275,inf,-0.654728314035529,1,2,4,4,3,5,7,6,8
22.0,0.0,8124.0,9.0,0.0027080256031511,0.4090909090909091,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0,0.6598973310110031,1.0,1.3570968392142275,inf,-0.654728314035529,1,2,3,4,2,5,7,6,8
14.0,0.0,8124.0,9.0,0.001723289020187,0.6428571428571429,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0209398332964979,0.6280433159496361,1.0,1.3992428932976166,inf,-0.5068263645363895,2,1,3,3,2,4,6,5,7
21.0,0.0,8124.0,9.0,0.0025849335302806,0.4285714285714285,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0,0.6598973310110031,1.0,1.354190646197478,inf,-0.635729347121941,1,1,1,1,1,2,4,3,5
18.0,0.0,8124.0,9.0,0.0022156573116691,0.5,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0,0.6598973310110031,1.0,1.4172454580553024,inf,-0.6304824986671353,2,1,3,1,2,4,6,5,7
15.0,0.0,8124.0,9.0,0.0018463810930576,0.6,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0209398332964979,0.6280433159496361,1.0,1.3609904949869227,inf,-0.4983087661644867,4,1,3,3,2,4,6,5,7
16.0,0.0,8124.0,9.0,0.0019694731659281,0.5625,902.6666666666666,0.010204081632653,0.0,0.0,0.0,0.0,0.6598973310110031,1.0,1.380870554510245,inf,-0.5507993413000657,1,2,2,2,1,3,4,3,5
22.0,0.0,1408.0,9.0,0.015625,0.4090909090909091,156.44444444444446,0.0098039215686274,0.0,0.0,0.0,0.0,0.6539226123972711,1.0,1.352022035333733,inf,-0.6506289971623005,3,1,3,3,2,4,6,5,7
22.0,0.0,2178.0,9.0,0.0101010101010101,0.4090909090909091,242.0,0.0105708245243128,0.0,0.0,0.0,0.0,0.6574884620589415,1.0,1.3561706076064828,inf,-0.6538088775295636,1,2,4,4,3,5,7,6,8
22.0,0.0,3970.0,9.0,0.0055415617128463,0.4090909090909091,441.1111111111111,0.0104408352668213,0.0,0.0,0.0,0.0,0.6558686205332036,1.0,1.3561053447812683,inf,-0.6538800273082003,3,1,2,3,4,5,7,6,8
22.0,0.0,5661.0,9.0,0.0038862391803568,0.4090909090909091,629.0,0.0101667344448962,0.0,0.0,0.0,0.0,0.6573989329176716,1.0,1.3545099453567473,inf,-0.6525967592865154,1,3,4,2,3,5,7,6,8
22.0,0.0,7619.0,9.0,0.0028875180469877,0.4090909090909091,846.5555555555555,0.0102750075551526,0.0,0.0,0.0,0.0,0.6612524211334734,1.0,1.3557327396253196,inf,-0.65360130267191,3,2,2,1,1,3,4,4,5
18.0,0.6111111111111112,170.0,2.0,0.1058823529411764,0.1111111111111111,85.0,0.5315315315315315,0.5,0.0,0.0772452296348493,0.0,0.0190689196917507,1.0138495493278277,1.0083134509804796,5.156084244248887,15.071719411591651,1,5,4,3,2,3,4,5,6
18.0,0.6111111111111112,264.0,3.0,0.0681818181818181,0.1666666666666666,88.0,0.5315315315315315,0.5555555555555556,0.0,0.0866671299042165,0.0012775099081183,0.1058995445110206,1.0289683053751717,1.0468330979714864,3.899792791315758,3.804004845878057,1,2,1,2,3,4,3,4,5
18.0,0.6111111111111112,153.0,2.0,0.1176470588235294,0.1111111111111111,76.5,0.6276595744680851,0.5,0.0,0.1107290251310084,0.0010337789265378,0.1634475142925955,1.0417797452935766,1.06373952719771,1.1364692688859088,1.223907464501756,1,3,1,2,5,4,6,7,8
9.0,0.6666666666666666,276.0,4.0,0.0326086956521739,0.4444444444444444,69.0,0.1081081081081081,0.5555555555555556,0.0,0.0619813676283182,0.0022577984714441,0.0792028409482051,1.0284072678807523,1.030094430952725,9.294895658327963,18.45149282141768,1,1,1,1,2,1,3,5,4
17.0,0.5882352941176471,276.0,4.0,0.0615942028985507,0.2352941176470588,69.0,0.1081081081081081,0.4705882352941176,0.0,0.0826489973031945,0.0022577984714441,0.1337593830516323,1.0386338172277176,1.0569762913171747,3.5645241472968965,3.4606881972042096,2,2,1,1,4,3,6,5,7
14.0,0.7142857142857143,276.0,4.0,0.0507246376811594,0.2857142857142857,69.0,0.1081081081081081,0.5714285714285714,0.0,0.0861151024540829,0.0074907963076517,0.1337593830516323,1.0403761660989592,1.0720231004687832,3.371237158698774,5.219617682188963,2,2,1,1,3,1,5,4,6
11.0,0.6363636363636364,276.0,4.0,0.0398550724637681,0.3636363636363636,69.0,0.1081081081081081,0.5454545454545454,0.0006387515012855,0.0852908087106598,0.0022577984714441,0.1337593830516323,1.0300669829305518,1.0572568798909718,7.3438525718715715,6.768990401951946,1,2,3,2,4,5,5,6,5
10.0,0.6,276.0,4.0,0.036231884057971,0.4,69.0,0.1081081081081081,0.5,0.0,0.0817674594257793,0.0074907963076517,0.1337593830516323,1.0429787042568233,1.0662994944259072,5.852847930358627,5.738292524454479,1,3,2,2,4,4,6,5,7
9.0,0.7777777777777778,276.0,4.0,0.0326086956521739,0.4444444444444444,69.0,0.1081081081081081,0.5555555555555556,0.0,0.10104667458027,0.0792028409482051,0.1337593830516323,1.0440094136135418,1.1123569160497422,4.739156263590115,7.124625020377855,1,1,1,3,4,2,5,4,6
18.0,0.6111111111111112,129.0,4.0,0.1395348837209302,0.2222222222222222,32.25,0.1153846153846153,0.5,0.0,0.0766400526631692,0.0020120786115741,0.1490286243017718,1.031472147572996,1.0635441042099978,4.092461565013375,3.0250735853900084,4,5,5,5,1,2,2,4,3
18.0,0.6111111111111112,154.0,4.0,0.1168831168831168,0.2222222222222222,38.5,0.1129032258064516,0.5,0.0,0.1015649944510963,0.000718400582833,0.121212922926314,1.0384791621158005,1.054511871935389,3.180456346464488,3.673097843081892,1,1,1,1,3,2,4,2,5
18.0,0.6111111111111112,170.0,4.0,0.1058823529411764,0.2222222222222222,42.5,0.1176470588235294,0.5,0.0,0.1489854300139415,0.0030067487759736,0.1324834914328414,1.050538446897992,1.06415688834301,2.2080328357001875,2.997006796692045,1,3,2,2,4,5,6,7,7
18.0,0.6111111111111112,205.0,4.0,0.0878048780487804,0.2222222222222222,51.25,0.1097560975609756,0.5,0.0,0.0822278710651946,0.0068280859941393,0.1329162804719181,1.0518142868636555,1.055201933459871,2.117943038683607,3.606407769650082,2,2,1,2,1,4,2,3,3
18.0,0.6111111111111112,217.0,4.0,0.0829493087557603,0.2222222222222222,54.25,0.1149425287356321,0.5,0.0,0.1242299920506564,0.0027980523912072,0.1432784110681791,1.038593017473045,1.0537979566826825,3.169982190783943,3.735343813013635,2,1,2,1,3,4,4,5,5
18.0,0.6111111111111112,254.0,4.0,0.0708661417322834,0.2222222222222222,63.5,0.1078431372549019,0.5,0.0,0.0930230370295603,0.0035463351892,0.1292224093641294,1.0383523642619965,1.0544473036731583,3.1766370336082645,3.6591043491114137,3,2,1,3,4,4,5,4,4
19.0,0.6842105263157895,753.0,2.0,0.0252324037184594,0.1052631578947368,376.5,0.9815789473684212,0.1052631578947368,0.0,0.0240240938983156,9.117289873405989e-06,0.0019886268097711,1.008750277697007,1.0004676416848866,7.828785077952365,355.4593297918946,2,4,5,6,1,3,1,2,7
19.0,0.6842105263157895,2211.0,6.0,0.0085933966530981,0.3157894736842105,368.5,0.868766404199475,0.1052631578947368,0.0,0.0291880123352159,0.0002239073086394,0.0012213605483191,1.0064334850263816,1.000710622655384,29.9869460954534,605.0927721848094,3,6,4,5,3,6,2,7,1
19.0,0.6842105263157895,2251.0,6.0,0.008440693025322,0.3157894736842105,375.1666666666667,0.7956730769230769,0.1052631578947368,0.0,0.0285606347789073,0.0003037114663052,0.00112402343583,1.0109105163533811,1.0006779431906443,17.301228338372706,633.9112567214181,1,4,3,3,1,4,2,5,2
19.0,0.6842105263157895,2619.0,7.0,0.0072546773577701,0.3684210526315789,374.1428571428572,0.7956730769230769,0.1052631578947368,0.0,0.019484011909685,0.0002926158206725,0.0013239115390629,1.0047665636481329,1.0006182567298167,44.36859194036687,755.2844459352835,1,3,1,1,1,3,2,3,2
19.0,0.6842105263157895,1873.0,5.0,0.0101441537640149,0.2631578947368421,374.6,0.9606299212598424,0.1578947368421052,0.0,0.029686920404675,0.0002634565459558,0.0011702741010571,1.012067223155936,1.0008240058514968,13.889537702012731,468.8096679433326,3,5,4,4,3,6,2,7,1
11.0,0.5454545454545454,3000.0,8.0,0.0036666666666666,0.7272727272727273,375.0,0.7956730769230769,0.0,0.0,0.0093366474714713,0.0003089696863372,0.001161829441407,1.0045127258027349,1.0007142714113355,109.9576210515188,838.6359570015372,2,4,3,3,2,5,1,6,1
15.0,0.7333333333333333,3000.0,8.0,0.005,0.5333333333333333,375.0,0.7956730769230769,0.1333333333333333,0.0,0.0247388275904691,0.0003089696863372,0.0009045924507489,1.0082599800769687,1.0006539718471918,32.12722437921251,1145.28384137988,2,3,2,2,1,4,1,5,1
9.0,0.5555555555555556,3000.0,8.0,0.003,0.8888888888888888,375.0,0.7956730769230769,0.1111111111111111,0.0,0.0090068047475488,0.0006978128107708,0.001161829441407,1.0039367291555032,1.0008985790007636,151.58686668359294,833.3495565535655,2,3,2,2,1,4,2,4,1
13.0,0.6153846153846154,3000.0,8.0,0.0043333333333333,0.6153846153846154,375.0,0.7956730769230769,0.0769230769230769,0.0,0.0226436774920646,0.0005730028876257,0.001161829441407,1.006400847670733,1.00083348815216,57.72567263421388,718.5827382711244,2,5,3,4,2,6,2,7,1
12.0,0.8333333333333334,3000.0,8.0,0.004,0.6666666666666666,375.0,0.7956730769230769,0.1666666666666666,0.0,0.0202569513898698,0.0003089696863372,0.0008284673784385,1.0074501990814064,1.0005688802834347,39.38444860567379,2634.37164494189,3,5,4,4,3,6,2,7,1
19.0,0.6842105263157895,569.0,8.0,0.0333919156414762,0.4210526315789473,71.125,0.7974683544303798,0.1578947368421052,0.0,0.0333701174320508,0.0023407609678939,0.0105311639088002,1.0051506966935797,1.0058008432101553,43.88264604204482,85.37457838296287,2,2,2,2,2,4,1,3,1
19.0,0.6842105263157895,1120.0,8.0,0.0169642857142857,0.4210526315789473,140.0,0.8,0.1052631578947368,0.0,0.0484153335752406,0.0009598701343448,0.0081358686456284,1.0152301625844888,1.0034163371793554,14.255442327015128,145.49240952934892,3,5,4,4,3,6,2,7,1
19.0,0.6842105263157895,1420.0,8.0,0.0133802816901408,0.4210526315789473,177.5,0.7969543147208121,0.0526315789473684,0.0,0.0281820952462883,0.0012708989041115,0.0064497998313341,1.011649200323794,1.0026457763339485,18.909108922185595,188.07904616012053,4,5,3,3,3,6,2,6,1
19.0,0.6842105263157895,2224.0,8.0,0.0085431654676259,0.4210526315789473,278.0,0.7954545454545454,0.1578947368421052,0.0,0.0224531127139249,0.000667971492442,0.0015270618572327,1.0047641559164229,1.0009931157440437,47.51444165157977,502.3062533020177,2,4,3,3,2,5,1,6,1
19.0,0.6842105263157895,2493.0,8.0,0.0076213397513036,0.4210526315789473,311.625,0.7947976878612717,0.1578947368421052,0.0,0.0168924302181059,0.000405930749451,0.001556642746584,1.004766474168104,1.0009239744788931,47.49058792280934,539.9466105715186,3,4,3,2,2,5,1,6,1
8.0,0.125,4372.0,2.0,0.0018298261665141,0.25,2186.0,0.0811078140454995,0.0,0.0844099249388379,0.0844099249388379,0.0059513194508348,0.0662588114690259,1.0880748314108266,1.0316373032072197,3.553900993497668,0.7630339510481668,4,2,2,3,5,1,6,1,7
8.0,0.125,4594.0,2.0,0.0017414018284719,0.25,2297.0,0.0768870135958743,0.0,0.0097308118505212,0.0097308118505212,0.0026192700516877,0.0387409565952854,1.0097783101407851,1.0150912193682766,37.13836412042958,2.539528058432298,5,2,3,4,6,1,7,1,8
8.0,0.125,8638.0,3.0,0.000926140310257,0.375,2879.333333333333,0.0768870135958743,0.0,0.0668041128006944,0.0668041128006944,0.0043457706019232,0.0755947631214128,1.0690860373922044,1.0264215128230867,16.87984397680786,5.543142585319835,4,2,3,3,1,4,5,5,6
5.0,0.2,12958.0,4.0,0.0003858620157431,0.8,3239.5,0.0759259259259259,0.0,0.0355444884102382,0.0355444884102382,0.0028969627758662,0.6645051449782055,1.0361837452702047,1.1879296533527228,47.23768674428404,1.489059776981373,2,4,5,3,2,1,6,7,8
4.0,0.25,12958.0,4.0,0.0003086896125945,1.0,3239.5,0.0759259259259259,0.0,0.0366539362720832,0.0366539362720832,0.0028969627758662,0.6645051449782055,1.0373339750528774,1.254755293234816,45.77761986302104,1.5184036974432913,1,1,2,4,1,3,5,5,6
7.0,0.1428571428571428,12958.0,4.0,0.0005402068220404,0.5714285714285714,3239.5,0.0759259259259259,0.0,0.0385322909319141,0.0385322909319141,0.0028969627758662,0.6645051449782055,1.0392842872743169,1.1252155128162589,43.49732564431603,1.4222503914848812,4,5,4,2,1,3,6,7,8
6.0,0.0,12958.0,4.0,0.0004630344188918,0.6666666666666666,3239.5,0.0759259259259259,0.0,0.0,0.0,0.00364921934032,0.6645051449782055,1.0,1.1341580041163364,inf,1.2699402813901168,2,5,4,4,1,3,6,7,8
4.0,0.0,12958.0,4.0,0.0003086896125945,1.0,3239.5,0.0759259259259259,0.0,0.0,0.0,0.00364921934032,0.0153502668544486,1.0,1.0101626418744387,inf,41.39255863585825,1,3,2,2,1,4,5,5,6
4.0,0.0,12958.0,4.0,0.0003086896125945,1.0,3239.5,0.0759259259259259,0.0,0.0,0.0,0.0028969627758662,0.6645051449782055,1.0,1.1866304438816306,inf,1.50497696569768,2,1,1,1,2,1,3,4,5
8.0,0.125,2041.0,4.0,0.0039196472317491,0.5,510.25,0.0764705882352941,0.0,0.0658728579726579,0.0658728579726579,0.005098337671107,0.6602751126717878,1.0680909092891393,1.1152629251706183,25.03803037443452,1.246109472921907,3,1,1,1,2,3,4,5,6
8.0,0.125,2464.0,4.0,0.0032467532467532,0.5,616.0,0.0754257907542579,0.0,0.0587766180884932,0.0587766180884932,0.0033670658084594,0.668643106094178,1.0605383092032985,1.1174353451901349,28.16166256348421,1.205232000739676,4,4,3,2,1,5,6,7,8
8.0,0.125,5517.0,4.0,0.0014500634402755,0.5,1379.25,0.0761283306144643,0.0,0.041939467713596,0.041939467713596,0.004345259705804,0.6648974268626693,1.0428313518741128,1.1148011485228595,39.88805132318851,1.2541740963777146,4,3,2,4,1,5,6,7,8
